month,region,product_category,customer_segment,marketing_spend,operating_cost,units_sold,average_price,revenue,gross_margin_rate,gross_margin,profit,retention_rate,churn_risk
2023-01-01,Midwest,Analytics Software,Mid-Market,2917.35,9292.7,100,414.65,41465.08,0.5831,24176.98,11966.93,0.8678,0.1322
2023-01-01,Midwest,Analytics Software,Enterprise,2925.87,7957.78,75,504.89,37867.09,0.64,24234.94,13351.29,0.8258,0.1742
2023-01-01,Midwest,Implementation Services,Small Business,3659.95,8970.38,69,708.93,48916.43,0.4146,20280.94,7650.61,0.8247,0.1753
2023-01-01,Midwest,Implementation Services,Mid-Market,4999.75,9685.91,75,765.35,57401.17,0.4436,25460.51,10774.85,0.8555,0.1445
2023-01-01,Midwest,Implementation Services,Enterprise,3705.55,8763.21,49,934.24,45777.54,0.4583,20981.74,8512.97,0.8529,0.1471
2023-01-01,Midwest,Training Workshops,Small Business,1935.9,7776.48,103,267.07,27508.33,0.4788,13170.79,3458.41,0.8105,0.1895
2023-01-01,Midwest,Training Workshops,Mid-Market,2288.31,8068.65,98,288.66,28288.89,0.4699,13293.58,2936.63,0.8157,0.1843
2023-01-01,Midwest,Training Workshops,Enterprise,1795.59,6347.2,67,344.25,23064.73,0.5439,12545.63,4402.84,0.8452,0.1548
2023-01-01,Midwest,Support Plans,Small Business,2013.87,6987.6,129,180.92,23339.25,0.5189,12111.58,3110.12,0.8021,0.1979
2023-01-01,Midwest,Support Plans,Mid-Market,2096.63,6900.21,139,196.89,27368.33,0.4993,13664.53,4667.7,0.8582,0.1418
2023-01-01,Midwest,Support Plans,Enterprise,1725.63,6774.49,97,226.93,22012.14,0.5688,12519.72,4019.6,0.8836,0.1164
2023-01-01,South,Analytics Software,Small Business,4826.19,10566.73,152,380.54,57841.58,0.562,32504.93,17112.01,0.7898,0.2102
2023-01-01,South,Analytics Software,Mid-Market,4924.58,10981.79,149,426.51,63549.46,0.5769,36662.0,20755.62,0.7907,0.2093
2023-01-01,South,Analytics Software,Enterprise,3189.49,9124.23,89,518.13,46113.52,0.6165,28429.25,16115.53,0.8367,0.1633
2023-01-01,South,Implementation Services,Small Business,4084.95,11146.39,87,722.54,62860.88,0.418,26274.7,11043.36,0.8148,0.1852
2023-01-01,South,Implementation Services,Mid-Market,4232.65,10680.73,72,744.24,53585.21,0.4418,23672.64,8759.26,0.8299,0.1701
2023-01-01,South,Implementation Services,Enterprise,4243.53,10879.18,62,911.74,56528.03,0.4498,25428.94,10306.23,0.8252,0.1748
2023-01-01,South,Training Workshops,Small Business,2325.9,8704.73,135,262.01,35371.9,0.4842,17127.37,6096.73,0.7918,0.2082
2023-01-01,South,Training Workshops,Mid-Market,2444.21,8438.38,117,276.47,32347.42,0.4645,15025.71,4143.12,0.7945,0.2055
2023-01-01,South,Training Workshops,Enterprise,2155.3,7928.45,70,353.43,24740.04,0.5272,13041.87,2958.13,0.796,0.204
2023-01-01,South,Support Plans,Small Business,3357.86,9837.09,210,179.79,37754.98,0.5234,19762.84,6567.88,0.7796,0.2204
2023-01-01,South,Support Plans,Mid-Market,1826.68,7940.41,151,187.14,28258.57,0.5151,14554.63,4787.54,0.844,0.156
2023-01-01,South,Support Plans,Enterprise,1813.62,8691.22,102,237.57,24231.97,0.5678,13757.71,3252.87,0.8622,0.1378
2023-01-01,West,Analytics Software,Small Business,4020.07,13765.27,143,394.24,56376.25,0.5427,30597.64,12812.3,0.8585,0.1415
2023-01-01,West,Analytics Software,Mid-Market,4054.94,12212.76,119,429.39,51097.47,0.5579,28505.14,12237.44,0.8847,0.1153
2023-01-01,West,Analytics Software,Enterprise,2754.94,11138.31,76,531.49,40393.18,0.609,24599.67,10706.42,0.8898,0.1102
2023-01-01,West,Implementation Services,Small Business,3777.3,12742.52,79,684.09,54043.25,0.4195,22671.92,6152.09,0.8614,0.1386
2023-01-01,West,Implementation Services,Mid-Market,4795.44,11930.76,70,768.25,53777.6,0.4211,22647.85,5921.64,0.8751,0.1249
2023-01-01,West,Implementation Services,Enterprise,3104.35,10943.41,47,925.07,43478.39,0.4786,20808.08,6760.32,0.8951,0.1049
2023-01-01,West,Training Workshops,Small Business,2346.21,8380.2,100,258.14,25813.58,0.4849,12517.59,1791.18,0.8329,0.1671
2023-01-01,West,Training Workshops,Mid-Market,2260.62,8971.18,89,289.89,25800.38,0.499,12875.5,1643.71,0.836,0.164
2023-01-01,West,Training Workshops,Enterprise,2366.96,9576.86,75,348.18,26113.13,0.5356,13985.77,2041.95,0.843,0.157
2023-01-01,West,Support Plans,Small Business,2784.01,9133.29,180,173.22,31179.46,0.5082,15844.45,3927.15,0.8261,0.1739
2023-01-01,West,Support Plans,Mid-Market,1853.75,9360.44,121,191.66,23190.6,0.5086,11795.14,580.96,0.8393,0.1607
2023-01-01,West,Support Plans,Enterprise,2085.08,9665.61,103,229.13,23600.33,0.5694,13438.65,1687.97,0.849,0.151
2023-02-01,Northeast,Analytics Software,Small Business,4947.8,12889.06,153,382.29,58490.62,0.5352,31302.85,13465.99,0.8563,0.1437
2023-02-01,Northeast,Analytics Software,Mid-Market,3752.38,11857.87,140,423.62,59306.72,0.5764,34183.46,18573.21,0.9068,0.0932
2023-02-01,Northeast,Analytics Software,Enterprise,4302.0,11429.31,105,516.6,54242.71,0.64,34715.33,18984.02,0.8714,0.1286
2023-02-01,Northeast,Implementation Services,Small Business,5661.49,14150.86,90,722.22,65000.14,0.4148,26962.45,7150.1,0.8527,0.1473
2023-02-01,Northeast,Implementation Services,Mid-Market,4757.66,11942.71,73,742.67,54214.81,0.434,23529.54,6829.17,0.8884,0.1116
2023-02-01,Northeast,Implementation Services,Enterprise,4421.53,12154.09,51,959.74,48946.59,0.4882,23897.21,7321.59,0.9242,0.0758
2023-02-01,Northeast,Training Workshops,Small Business,2554.66,9839.21,109,263.15,28683.76,0.4516,12953.85,559.99,0.8985,0.1015
2023-02-01,Northeast,Training Workshops,Mid-Market,2120.26,10367.86,116,276.83,32112.21,0.4944,15875.27,3387.15,0.9051,0.0949
2023-02-01,Northeast,Training Workshops,Enterprise,1757.26,9357.96,70,350.88,24561.48,0.528,12968.83,1853.61,0.8784,0.1216
2023-02-01,Northeast,Support Plans,Small Business,2353.69,9976.59,157,171.92,26991.3,0.4914,13263.88,933.6,0.8575,0.1425
2023-02-01,Northeast,Support Plans,Mid-Market,2352.04,10279.36,159,189.62,30148.9,0.5441,16402.73,3771.34,0.8531,0.1469
2023-02-01,Northeast,Support Plans,Enterprise,2005.08,8427.07,125,227.74,28467.93,0.5931,16885.09,6452.94,0.8929,0.1071
2023-02-01,Midwest,Analytics Software,Small Business,4297.24,10257.17,145,383.29,55577.39,0.5653,31418.48,16864.08,0.8384,0.1616
2023-02-01,Midwest,Analytics Software,Mid-Market,3998.11,9538.52,105,428.24,44965.02,0.5551,24959.39,11422.75,0.8554,0.1446
2023-02-01,Midwest,Analytics Software,Enterprise,2944.87,9825.75,87,521.08,45334.14,0.6232,28252.74,15482.11,0.8456,0.1544
2023-02-01,Midwest,Implementation Services,Small Business,4008.82,10159.59,78,719.73,56138.88,0.411,23072.39,8903.98,0.8266,0.1734
2023-02-01,Midwest,Implementation Services,Mid-Market,3771.99,10871.83,67,752.93,50446.23,0.4014,20247.32,5603.5,0.8524,0.1476
2023-02-01,Midwest,Implementation Services,Enterprise,4047.42,9109.49,55,939.33,51663.34,0.46,23767.59,10610.68,0.8426,0.1574
2023-02-01,Midwest,Training Workshops,Small Business,2137.34,7718.29,108,260.33,28115.67,0.4677,13150.69,3295.05,0.813,0.187
2023-02-01,Midwest,Training Workshops,Mid-Market,1783.42,6830.39,91,289.26,26322.95,0.4948,13024.63,4410.82,0.8411,0.1589
2023-02-01,Midwest,Training Workshops,Enterprise,1967.72,7725.61,69,339.37,23416.32,0.5459,12783.47,3090.14,0.8382,0.1618
2023-02-01,Midwest,Support Plans,Small Business,1879.28,8196.63,145,169.85,24628.96,0.4872,12000.26,1924.35,0.8031,0.1969
2023-02-01,Midwest,Support Plans,Mid-Market,2050.5,7507.77,129,192.68,24855.19,0.5047,12544.95,2986.69,0.8221,0.1779
2023-02-01,Midwest,Support Plans,Enterprise,1902.09,6504.06,100,224.94,22493.6,0.5825,13103.6,4697.46,0.8523,0.1477
2023-02-01,South,Analytics Software,Small Business,3845.5,10850.88,149,400.72,59707.14,0.5609,33489.61,18793.23,0.8274,0.1726
2023-02-01,South,Analytics Software,Mid-Market,5313.71,11432.87,136,430.96,58610.78,0.5884,34485.35,17738.76,0.8415,0.1585
2023-02-01,South,Analytics Software,Enterprise,4403.59,11749.84,110,519.0,57090.29,0.64,36537.78,20384.35,0.8309,0.1691
2023-02-01,South,Implementation Services,Small Business,5673.44,12968.3,113,714.62,80752.23,0.3987,32198.64,13556.89,0.8126,0.1874
2023-02-01,South,Implementation Services,Mid-Market,4866.49,11428.44,90,764.93,68843.98,0.4263,29350.77,13055.83,0.795,0.205
2023-02-01,South,Implementation Services,Enterprise,3445.88,9990.5,56,920.13,51527.53,0.472,24321.39,10885.01,0.8411,0.1589
2023-02-01,South,Training Workshops,Small Business,2806.92,8784.0,143,251.03,35897.31,0.4554,16346.92,4756.0,0.7825,0.2175
2023-02-01,South,Training Workshops,Mid-Market,2601.04,9226.44,109,289.33,31537.5,0.4842,15270.58,3443.09,0.8286,0.1714
2023-02-01,South,Training Workshops,Enterprise,2146.58,8613.81,77,331.49,25524.96,0.5226,13339.04,2578.64,0.8592,0.1408
2023-02-01,South,Support Plans,Small Business,2698.3,8179.58,189,178.7,33774.79,0.5023,16965.3,6087.42,0.7834,0.2166
2023-02-01,South,Support Plans,Mid-Market,2393.26,8084.02,158,184.69,29180.39,0.5118,14934.71,4457.44,0.7866,0.2134
2023-02-01,South,Support Plans,Enterprise,1663.72,7752.46,115,226.92,26095.44,0.5761,15033.92,5617.74,0.832,0.168
2023-02-01,West,Analytics Software,Small Business,3811.62,11202.17,128,392.19,50200.72,0.5418,27197.99,12184.2,0.8445,0.1555
2023-02-01,West,Analytics Software,Mid-Market,3499.61,12292.61,114,417.01,47539.06,0.5931,28193.58,12401.36,0.8832,0.1168
2023-02-01,West,Analytics Software,Enterprise,3241.08,12077.88,83,499.97,41497.16,0.606,25146.0,9827.04,0.867,0.133
2023-02-01,West,Implementation Services,Small Business,5725.42,15101.52,95,716.46,68063.76,0.4076,27741.96,6915.01,0.832,0.168
2023-02-01,West,Implementation Services,Mid-Market,3960.12,12023.06,65,745.31,48444.94,0.4013,19441.49,3458.3,0.8403,0.1597
2023-02-01,West,Implementation Services,Enterprise,4404.26,13167.87,58,949.16,55051.21,0.4534,24959.64,7387.51,0.8505,0.1495
2023-02-01,West,Training Workshops,Small Business,2265.0,10002.2,133,267.27,35546.62,0.4404,15654.91,3387.72,0.8654,0.1346
2023-02-01,West,Training Workshops,Mid-Market,2092.43,10357.49,115,279.37,32128.06,0.4908,15766.87,3316.95,0.8689,0.1311
2023-02-01,West,Training Workshops,Enterprise,1786.88,8073.02,64,349.82,22388.71,0.5475,12258.15,2398.25,0.9114,0.0886
2023-02-01,West,Support Plans,Small Business,2410.33,10072.97,189,173.8,32849.03,0.4964,16306.88,3823.58,0.8419,0.1581
2023-02-01,West,Support Plans,Mid-Market,2825.91,10165.71,161,195.24,31433.16,0.5003,15725.28,2733.67,0.883,0.117
2023-02-01,West,Support Plans,Enterprise,2317.66,8765.45,111,231.91,25742.26,0.5817,14974.01,3890.89,0.8991,0.1009
2023-03-01,Northeast,Analytics Software,Small Business,5568.73,13084.42,172,387.89,66716.33,0.5568,37146.23,18493.08,0.8976,0.1024
2023-03-01,Northeast,Analytics Software,Mid-Market,4437.02,13117.07,155,409.95,63541.92,0.5991,38066.79,20512.71,0.8877,0.1123
2023-03-01,Northeast,Analytics Software,Enterprise,3323.52,10941.25,98,498.06,48809.63,0.64,31238.16,16973.39,0.9183,0.0817
2023-03-01,Northeast,Implementation Services,Small Business,5000.18,13018.37,98,721.31,70688.42,0.4101,28986.43,10967.88,0.9044,0.0956
2023-03-01,Northeast,Implementation Services,Mid-Market,4899.0,12958.91,75,775.51,58163.1,0.4194,24395.28,6537.37,0.8902,0.1098
2023-03-01,Northeast,Implementation Services,Enterprise,4079.8,13050.8,62,950.85,58952.61,0.4497,26508.2,9377.6,0.8839,0.1161
2023-03-01,Northeast,Training Workshops,Small Business,2729.51,10605.63,141,258.41,36435.22,0.4615,16816.53,3481.4,0.8612,0.1388
2023-03-01,Northeast,Training Workshops,Mid-Market,2242.46,9198.16,122,276.91,33783.02,0.4676,15795.93,4355.31,0.8534,0.1466
2023-03-01,Northeast,Training Workshops,Enterprise,2003.74,9240.69,83,349.58,29014.93,0.5143,14921.15,3676.72,0.9132,0.0868
2023-03-01,Northeast,Support Plans,Small Business,2629.06,9900.16,227,175.98,39946.43,0.4891,19539.79,7010.57,0.8539,0.1461
2023-03-01,Northeast,Support Plans,Mid-Market,1955.96,10068.73,150,184.49,27673.23,0.5217,14437.31,2412.61,0.8837,0.1163
2023-03-01,Northeast,Support Plans,Enterprise,2194.03,9969.41,126,226.9,28588.77,0.5884,16822.29,4658.85,0.9027,0.0973
2023-03-01,Midwest,Analytics Software,Small Business,3638.29,11454.3,146,386.72,56461.38,0.5442,30727.31,15634.72,0.8314,0.1686
2023-03-01,Midwest,Analytics Software,Mid-Market,4562.49,9691.75,135,419.18,56589.41,0.5587,31616.73,17362.49,0.8154,0.1846
2023-03-01,Midwest,Analytics Software,Enterprise,3031.56,10062.8,90,507.93,45713.34,0.64,29256.54,16162.19,0.8649,0.1351
2023-03-01,Midwest,Implementation Services,Small Business,5107.64,11528.62,98,689.27,67548.46,0.4011,27095.62,10459.36,0.8582,0.1418
2023-03-01,Midwest,Implementation Services,Mid-Market,5188.22,11857.51,86,753.45,64796.38,0.4261,27606.58,10560.85,0.8713,0.1287
2023-03-01,Midwest,Implementation Services,Enterprise,3015.43,8787.6,49,913.08,44740.94,0.478,21387.13,9584.09,0.8278,0.1722
2023-03-01,Midwest,Training Workshops,Small Business,1872.49,7123.03,102,258.0,26315.54,0.4647,12228.58,3233.06,0.8475,0.1525
2023-03-01,Midwest,Training Workshops,Mid-Market,2642.35,8565.85,106,280.5,29732.9,0.4894,14550.36,3342.16,0.8488,0.1512
2023-03-01,Midwest,Training Workshops,Enterprise,2075.59,7975.67,75,353.68,26525.84,0.5263,13959.41,3908.16,0.8861,0.1139
2023-03-01,Midwest,Support Plans,Small Business,2318.95,8743.98,190,170.43,32381.66,0.4833,15649.93,4586.99,0.8378,0.1622
2023-03-01,Midwest,Support Plans,Mid-Market,2073.38,8428.38,135,185.95,25103.78,0.5294,13290.79,2789.03,0.84,0.16
2023-03-01,Midwest,Support Plans,Enterprise,1749.27,7012.8,103,226.15,23293.58,0.547,12741.43,3979.35,0.84,0.16
2023-03-01,South,Analytics Software,Small Business,4978.09,12578.88,157,400.83,62929.65,0.5768,36297.69,18740.72,0.838,0.162
2023-03-01,South,Analytics Software,Mid-Market,5488.73,11847.75,157,415.32,65205.81,0.557,36320.39,18983.91,0.8206,0.1794
2023-03-01,South,Analytics Software,Enterprise,4921.4,11459.0,121,503.54,60928.06,0.6343,38644.62,22264.22,0.7989,0.2011
2023-03-01,South,Implementation Services,Small Business,6285.37,12274.58,104,694.54,72231.89,0.4085,29507.21,10947.26,0.8166,0.1834
2023-03-01,South,Implementation Services,Mid-Market,5247.98,11990.82,85,787.48,66936.17,0.4357,29162.63,11923.84,0.797,0.203
2023-03-01,South,Implementation Services,Enterprise,4618.66,12324.56,62,962.35,59665.88,0.4652,27757.09,10813.87,0.8385,0.1615
2023-03-01,South,Training Workshops,Small Business,2766.25,9659.81,147,257.32,37826.58,0.4444,16809.34,4383.29,0.8118,0.1882
2023-03-01,South,Training Workshops,Mid-Market,3212.19,8849.34,131,275.59,36102.26,0.4825,17417.93,5356.4,0.8239,0.1761
2023-03-01,South,Training Workshops,Enterprise,1903.23,7403.19,77,354.62,27305.89,0.5354,14620.76,5314.34,0.8311,0.1689
2023-03-01,South,Support Plans,Small Business,3219.97,8921.82,213,170.7,36358.36,0.5246,19074.06,6932.27,0.7762,0.2238
2023-03-01,South,Support Plans,Mid-Market,2831.79,8576.0,192,190.93,36658.25,0.5308,19459.31,8051.51,0.8334,0.1666
2023-03-01,South,Support Plans,Enterprise,2429.55,9498.83,144,228.8,32947.31,0.5726,18864.42,6936.05,0.8281,0.1719
2023-03-01,West,Analytics Software,Small Business,6100.74,14456.52,180,398.18,71672.08,0.5488,39334.52,18777.26,0.8834,0.1166
2023-03-01,West,Analytics Software,Mid-Market,4157.11,13222.75,135,431.52,58255.76,0.5691,33155.8,15775.94,0.8949,0.1051
2023-03-01,West,Analytics Software,Enterprise,3540.8,12032.33,97,502.36,48728.71,0.6319,30793.09,15219.96,0.8805,0.1195
2023-03-01,West,Implementation Services,Small Business,5555.54,14257.88,97,693.97,67315.39,0.3844,25878.23,6064.81,0.8343,0.1657
2023-03-01,West,Implementation Services,Mid-Market,5446.16,14560.95,89,739.52,65817.46,0.4322,28448.63,8441.52,0.852,0.148
2023-03-01,West,Implementation Services,Enterprise,4540.24,12218.03,62,952.65,59064.54,0.494,29180.3,12422.02,0.8777,0.1223
2023-03-01,West,Training Workshops,Small Business,2700.52,10465.84,135,265.55,35849.85,0.4787,17161.66,3995.3,0.85,0.15
2023-03-01,West,Training Workshops,Mid-Market,2202.6,9984.54,117,279.64,32717.36,0.4877,15957.54,3770.39,0.8928,0.1072
2023-03-01,West,Training Workshops,Enterprise,2266.22,9971.3,75,347.92,26093.7,0.5375,14025.15,1787.62,0.9027,0.0973
2023-03-01,West,Support Plans,Small Business,2674.33,10675.13,183,173.43,31737.81,0.5109,16215.99,2866.52,0.8205,0.1795
2023-03-01,West,Support Plans,Mid-Market,2400.42,9796.07,137,192.69,26399.14,0.541,14283.16,2086.67,0.8554,0.1446
2023-03-01,West,Support Plans,Enterprise,1773.41,9351.12,100,235.13,23512.92,0.5886,13840.39,2715.85,0.9057,0.0943
2023-04-01,Northeast,Analytics Software,Small Business,4369.41,12014.92,150,396.34,59451.31,0.5497,32678.51,16294.18,0.8752,0.1248
2023-04-01,Northeast,Analytics Software,Mid-Market,4128.71,13903.36,147,430.7,63312.91,0.5635,35676.77,17644.7,0.8884,0.1116
2023-04-01,Northeast,Analytics Software,Enterprise,3860.73,11257.24,96,529.77,50857.86,0.6122,31132.94,16014.97,0.8804,0.1196
2023-04-01,Northeast,Implementation Services,Small Business,5294.19,12621.84,90,717.61,64584.54,0.4201,27129.41,9213.38,0.8689,0.1311
2023-04-01,Northeast,Implementation Services,Mid-Market,4833.59,12802.23,84,768.46,64550.54,0.4269,27559.66,9923.84,0.9042,0.0958
2023-04-01,Northeast,Implementation Services,Enterprise,3669.29,12100.67,57,924.35,52688.07,0.4692,24719.16,8949.19,0.9027,0.0973
2023-04-01,Northeast,Training Workshops,Small Business,3366.47,10219.11,162,255.2,41341.69,0.4839,20005.13,6419.55,0.8776,0.1224
2023-04-01,Northeast,Training Workshops,Mid-Market,2838.33,9999.82,124,286.2,35488.24,0.4575,16234.18,3396.03,0.9083,0.0917
2023-04-01,Northeast,Training Workshops,Enterprise,2017.33,9394.82,79,350.45,27685.89,0.5354,14821.73,3409.58,0.906,0.094
2023-04-01,Northeast,Support Plans,Small Business,3300.93,10567.28,214,178.38,38172.74,0.508,19390.19,5521.98,0.9012,0.0988
2023-04-01,Northeast,Support Plans,Mid-Market,2627.2,10207.06,176,188.41,33159.95,0.517,17145.06,4310.8,0.8513,0.1487
2023-04-01,Northeast,Support Plans,Enterprise,1801.92,9124.33,114,236.97,27015.11,0.5538,14960.48,4034.23,0.9305,0.0695
2023-04-01,Midwest,Analytics Software,Small Business,4262.7,11633.55,152,399.52,60726.43,0.5765,35010.22,19113.97,0.8317,0.1683
2023-04-01,Midwest,Analytics Software,Mid-Market,3895.39,11725.88,137,429.35,58820.79,0.5719,33641.71,18020.45,0.8149,0.1851
2023-04-01,Midwest,Analytics Software,Enterprise,4917.28,11304.84,103,527.88,54371.59,0.64,34797.82,18575.7,0.8788,0.1212
2023-04-01,Midwest,Implementation Services,Small Business,4922.48,11121.99,88,716.92,63089.24,0.3757,23702.37,7657.9,0.8451,0.1549
2023-04-01,Midwest,Implementation Services,Mid-Market,5490.46,10272.1,80,768.3,61463.89,0.4361,26805.68,11043.12,0.8214,0.1786
2023-04-01,Midwest,Implementation Services,Enterprise,3985.42,8904.68,47,956.77,44968.4,0.4731,21273.22,8383.11,0.8269,0.1731
2023-04-01,Midwest,Training Workshops,Small Business,2655.76,7844.26,134,266.27,35680.19,0.4501,16059.99,5559.97,0.8642,0.1358
2023-04-01,Midwest,Training Workshops,Mid-Market,2371.81,6997.58,96,281.26,27000.52,0.4599,12416.45,3047.06,0.8368,0.1632
2023-04-01,Midwest,Training Workshops,Enterprise,2009.07,8199.38,77,349.12,26882.39,0.5523,14847.11,4638.66,0.8333,0.1667
2023-04-01,Midwest,Support Plans,Small Business,2186.08,8858.38,172,170.77,29372.03,0.4995,14670.37,3625.91,0.8003,0.1997
2023-04-01,Midwest,Support Plans,Mid-Market,2331.88,6907.31,141,190.2,26817.78,0.5425,14549.39,5310.21,0.853,0.147
2023-04-01,Midwest,Support Plans,Enterprise,1909.77,6985.67,107,240.71,25756.23,0.5629,14499.05,5603.61,0.8311,0.1689
2023-04-01,South,Analytics Software,Small Business,6331.32,13410.41,202,387.11,78195.65,0.5681,44425.96,24684.22,0.7695,0.2305
2023-04-01,South,Analytics Software,Mid-Market,5423.35,11407.99,166,414.56,68817.11,0.5613,38626.78,21795.45,0.8286,0.1714
2023-04-01,South,Analytics Software,Enterprise,3644.45,9717.23,100,504.77,50477.37,0.64,32305.52,18943.84,0.8555,0.1445
2023-04-01,South,Implementation Services,Small Business,4559.67,11732.31,95,720.24,68422.59,0.3822,26153.47,9861.5,0.7802,0.2198
2023-04-01,South,Implementation Services,Mid-Market,6098.09,12031.32,97,738.57,71641.44,0.3957,28351.6,10222.19,0.7977,0.2023
2023-04-01,South,Implementation Services,Enterprise,4210.43,11285.37,60,902.78,54167.09,0.4821,26113.19,10617.39,0.8258,0.1742
2023-04-01,South,Training Workshops,Small Business,3216.88,10430.15,161,259.13,41719.4,0.4405,18375.42,4728.4,0.771,0.229
2023-04-01,South,Training Workshops,Mid-Market,2932.27,10160.13,134,288.59,38671.44,0.4811,18603.77,5511.37,0.7793,0.2207
2023-04-01,South,Training Workshops,Enterprise,2328.3,9212.18,89,340.96,30345.04,0.5393,16365.23,4824.75,0.7976,0.2024
2023-04-01,South,Support Plans,Small Business,2340.1,8936.52,187,177.0,33098.84,0.4783,15830.65,4554.03,0.8064,0.1936
2023-04-01,South,Support Plans,Mid-Market,2527.18,8909.79,169,197.53,33382.32,0.5215,17409.81,5972.84,0.7819,0.2181
2023-04-01,South,Support Plans,Enterprise,2743.95,9047.74,136,238.68,32460.94,0.5775,18747.68,6955.99,0.8076,0.1924
2023-04-01,West,Analytics Software,Small Business,4700.93,13333.07,163,380.99,62101.09,0.5519,34276.49,16242.49,0.8247,0.1753
2023-04-01,West,Analytics Software,Mid-Market,3877.59,13822.29,135,426.95,57638.81,0.5737,33068.25,15368.37,0.8297,0.1703
2023-04-01,West,Analytics Software,Enterprise,4564.3,13235.51,109,500.37,54540.55,0.6098,33260.36,15460.56,0.8814,0.1186
2023-04-01,West,Implementation Services,Small Business,4828.13,14453.32,103,705.71,72688.16,0.3915,28456.13,9174.68,0.8646,0.1354
2023-04-01,West,Implementation Services,Mid-Market,6353.52,14690.14,90,783.38,70504.43,0.4311,30391.15,9347.49,0.8496,0.1504
2023-04-01,West,Implementation Services,Enterprise,3922.42,12072.7,62,913.19,56617.88,0.4778,27054.11,11058.99,0.9017,0.0983
2023-04-01,West,Training Workshops,Small Business,2911.11,10887.58,129,263.62,34007.41,0.4637,15769.4,1970.71,0.8862,0.1138
2023-04-01,West,Training Workshops,Mid-Market,2223.46,11158.76,123,283.63,34886.0,0.4871,16994.19,3611.97,0.8831,0.1169
2023-04-01,West,Training Workshops,Enterprise,1803.83,8838.22,75,335.67,25174.96,0.5401,13597.87,2955.82,0.8429,0.1571
2023-04-01,West,Support Plans,Small Business,2541.23,10926.6,215,176.49,37944.38,0.495,18783.96,5316.12,0.8201,0.1799
2023-04-01,West,Support Plans,Mid-Market,2348.93,9745.86,173,187.16,32378.9,0.516,16707.24,4612.45,0.8755,0.1245
2023-04-01,West,Support Plans,Enterprise,1886.29,8953.44,125,234.06,29256.97,0.5492,16069.33,5229.6,0.8857,0.1143
2023-05-01,Northeast,Analytics Software,Small Business,5327.78,13753.57,182,382.17,69554.55,0.5681,39513.72,20432.37,0.8571,0.1429
2023-05-01,Northeast,Analytics Software,Mid-Market,4515.86,13558.66,155,410.75,63665.67,0.5765,36702.98,18628.46,0.8791,0.1209
2023-05-01,Northeast,Analytics Software,Enterprise,4336.39,11161.07,109,498.66,54353.62,0.6248,33958.14,18460.67,0.8836,0.1164
2023-05-01,Northeast,Implementation Services,Small Business,4746.64,12454.0,96,684.94,65754.32,0.3878,25497.95,8297.31,0.8903,0.1097
2023-05-01,Northeast,Implementation Services,Mid-Market,4607.87,13434.19,79,757.43,59836.74,0.4302,25740.78,7698.72,0.9014,0.0986
2023-05-01,Northeast,Implementation Services,Enterprise,3337.74,12782.63,55,955.32,52542.38,0.4471,23492.49,7372.12,0.9228,0.0772
2023-05-01,Northeast,Training Workshops,Small Business,2798.87,9461.5,144,260.21,37470.46,0.4705,17628.91,5368.54,0.8395,0.1605
2023-05-01,Northeast,Training Workshops,Mid-Market,2752.09,10437.97,111,287.31,31890.96,0.4859,15496.02,2305.96,0.8512,0.1488
